,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,ANC,REPORT_DAT,METHOD,location,LATITUDE,Year
151,cluster 37,7406.0,violent,-76.9897348272031,2017-09-17T20:15:25.000,homicide,midnight,131932.0,7,8,2017,violent|homicide,,7D1,703,1,007406 2,precinct 118,400891.0,2400 - 2699 block of pomeroy road se,2017-09-17T20:13:28.000,17161653,homicide,8B,2017-09-17T04:00:00.000Z,gun,"38.855205870544523,-76.989737104814608",38.8551980910686,2017
152,cluster 17,1901.0,violent,-77.0242082896408,2017-10-11T00:10:23.000,homicide,midnight,144148.0,4,4,2017,violent|homicide,,4D1,402,1,001901 3,precinct 59,397902.0,6200  - 6211 block of 8th street nw,2017-10-10T23:58:26.000,17176099,homicide,4B,2017-10-11T04:00:00.000Z,gun,"38.965249723678113,-77.024210584709252",38.9652419232995,2017
153,cluster 21,4600.0,violent,-77.00997298963709,2017-02-28T00:21:51.000,homicide,midnight,137781.0,5,5,2017,violent|homicide,,5D1,501,1,004600 1,precinct 19,399135.0,1 - 99 block of hanover place nw,2017-02-27T23:06:42.000,17033646,homicide,5E,2017-02-28T05:00:00.000Z,gun,"38.907895964295165,-77.009975276762233",38.9078881749414,2017
165,cluster 36,7502.0,violent,-76.96561184101209,2017-01-06T19:10:39.000,homicide,midnight,131495.0,7,8,2018,violent|homicide,,7D1,702,1,007502 2,precinct 115,402985.0,3030 - 3299 block of buena vista terrace se,2017-01-06T19:01:52.000,17003498,homicide,8B,2018-03-20T04:00:00.000Z,gun,"38.851264572882961,-76.965614110872835",38.851256793306,2017
207,cluster 31,7807.0,violent,-76.9168610826873,2017-06-14T00:25:30.000,homicide,midnight,136678.0,6,7,2017,violent|homicide,,6D1,608,1,007807 1,precinct 95,407212.0,5800 - 5899 block of field place ne,2017-06-14T00:19:06.000,17100836,homicide,7C,2017-06-14T04:00:00.000Z,gun,"38.897930593023922,-76.916863340201004",38.8979228022149,2017
208,cluster 25,8001.0,violent,-76.9845756858135,,homicide,midnight,136696.0,1,6,2017,violent|homicide,,1D2,108,1,008001 1,precinct 81,401338.0,600 - 699 block of 14th place ne,2017-01-17T06:38:02.000,17009136,homicide,6A,2017-01-17T05:00:00.000Z,gun,"38.898121306987889,-76.984577964432418",38.8981135186591,2017
209,cluster 28,7503.0,violent,-76.9888001356519,2017-08-09T01:01:51.000,homicide,midnight,132989.0,7,8,2017,violent|homicide,,7D1,701,1,007503 1,precinct 114,400972.0,1200 - 1299 block of w street se,2017-08-09T01:00:03.000,17136608,homicide,8A,2017-08-09T04:00:00.000Z,gun,"38.864727687492959,-76.988802413551895",38.8647199060599,2017
210,cluster 21,9203.0,violent,-77.0061347174306,2017-10-19T01:54:21.000,homicide,midnight,139124.0,5,5,2017,violent|homicide,,5D1,502,1,009203 2,precinct 74,399468.0,2100 - 2399 block of lincoln road ne,2017-10-18T23:15:27.000,17181154,homicide,5E,2017-10-19T04:00:00.000Z,others,"38.919994426322091,-77.006137004099429",38.9199866343861,2017
211,cluster 37,7401.0,violent,-76.99988478372501,2017-04-17T16:00:04.000,homicide,midnight,132393.0,7,8,2017,violent|homicide,,7D1,703,1,007401 1,precinct 119,400010.0,1100 - 1399 block of stevens road se,2017-04-17T10:08:32.000,17062946,homicide,8C,2017-04-17T04:00:00.000Z,others,"38.859359206103157,-76.999887064749487",38.8593514261663,2017
212,cluster 31,7804.0,violent,-76.9274658011504,2017-06-21T03:28:22.000,homicide,midnight,136777.0,6,7,2017,violent|homicide,,6D1,602,1,007804 1,precinct 97,406292.0,700 - 799 block of 51st street ne,2017-06-21T00:12:39.000,17105464,homicide,7C,2017-06-21T04:00:00.000Z,gun,"38.898829486683063,-76.927468062022768",38.8988216960868,2017
213,cluster 28,7503.0,violent,-76.9892032076256,2017-08-14T12:41:40.000,homicide,midnight,133147.0,7,8,2017,violent|homicide,anacostia,7D1,701,1,007503 1,precinct 114,400937.0,2000 2098  block of martin luther king jr avenue se,2017-08-14T12:30:15.000,17140014,homicide,8A,2017-08-14T04:00:00.000Z,gun,"38.866151054931414,-76.989205485737727",38.866143273226,2017
214,cluster 22,9301.0,violent,-76.97958576495641,2017-08-03T19:45:58.000,homicide,midnight,140526.0,5,5,2017,violent|homicide,,5D2,504,1,009301 1,precinct 70,401770.0,3400 - 3499 block of 18th street ne,2017-08-03T19:40:24.000,17133448,homicide,5B,2017-08-04T04:00:00.000Z,gun,"38.93262246579804,-76.979588044126899",38.9326146703269,2017
215,cluster 25,8001.0,violent,-76.98550944472791,2017-03-21T16:19:34.000,homicide,midnight,136696.0,1,6,2017,violent|homicide,,1D2,108,1,008001 1,precinct 81,401257.0,600 - 699 block of 14th street ne,2017-03-20T01:15:15.000,17046217,homicide,6A,2017-03-22T04:00:00.000Z,others,"38.898121426509249,-76.985511723637629",38.8981136382153,2017
